Palabra,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,Answer9,Answer10,Answer11,Answer12,Answer13,Answer14,Answer15,Answer16,Answer17,Answer18,Answer19,Answer20,Answer21,Answer22,Answer23,Answer24,Answer25,Answer26,Answer27,Answer28,Answer29,Answer30,Answer31,Answer32,Answer33,Answer34,Answer35,Answer36,Answer37,Answer38,Answer39,Answer40,Answer41,Answer42,Answer43,Answer44,Answer45,Answer46,Answer47,Answer48,Answer49,Answer50,Answer51,Answer52,Answer53,Answer54,Answer55,Answer56,Answer57,Answer58,Answer59,Answer60,Answer61,Answer62,Answer63,Answer64,Answer65,Answer66,Answer67,Answer68,Answer69,Answer70,Answer71,Answer72,Answer73,Answer74,Answer75,Answer76,Answer77,Answer78,Answer79,Answer80,Answer81,Answer82,Answer83,Answer84,Answer85,Answer86,Answer87,Answer88,Answer89,Answer90,Answer91,Answer92,Answer93,Answer94,Answer95,Answer96,Answer97,Answer98,Answer99,Answer100
EGGPLANT,K14,A1,E19,K20,C2,E28,H11,E24,K10,B2,F4,M19,C12,M15,C5,G12,G15,E24,K2,M15,P29,N29,F14,K3,H6,C19,G9,N8,H20,P30,J16,K15,K14,N26,I4,M15,O11,P18,K17,O8,G8,C27,G13,E12,N3,F15,O18,K16,P2,O21,H12,G26,N12,C30,M4,H15,G10,I5,D25,K17,N20,P15,J15,P27,K17,A5,K21,E10,L8,K16,M7,B10,M10,L17,K5,H5,D10,K16,K24,H11,B1,H17,L18,C18,K16,I15,N20,L25,N29,N8,E15,C5,C3,L12,J2,N6,A2,E5,B8,J18
ASPARAGUS,O20,C14,G20,O20,C16,N12,A12,D23,O23,O25,J12,G6,N5,K6,G17,K17,D8,F5,C2,L19,C13,G18,H12,M11,E15,O28,N13,F14,N17,E12,A1,D6,G14,F16,H16,N19,G7,G18,M18,L16,N22,E25,I17,J16,D14,G12,O15,F3,L17,C15,I7,D7,J15,K4,N10,P1,E13,G20,K13,G16,C6,N19,C12,G15,H16,N4,A1,M16,K26,M15,N10,K25,L17,K12,N13,G12,O18,P11,O17,O23,D5,G20,E28,P14,H17,O20,E15,F7,M19,M12,G7,E19,N11,E28,P15,D25,H17,J16,L20,O18
PEACH,L25,L6,O18,M16,M10,G17,L17,N13,O30,O16,E26,E13,M15,C18,H13,G21,N3,C6,G14,G12,J20,B12,G13,E30,J18,N11,J19,C3,N9,F16,M17,N10,G13,L14,B16,K16,D16,I14,N20,H19,P1,P27,A1,K18,J15,J16,O12,P29,D15,C2,F13,K15,O8,N12,P30,P7,E12,F3,J20,F20,A1,G29,J8,F8,D18,M25,K20,G14,N20,N15,K5,K21,M20,N21,K16,H18,F7,H15,N17,N20,J15,J19,N15,P28,M14,O25,H20,K22,O3,K12,P28,M21,J14,J12,K15,N5,G10,J16,N3,M13
APPLE,E2,L7,O20,E12,D14,P30,M14,C12,L25,K16,N15,E18,O17,C6,O16,P1,C17,D12,K19,M21,P23,E10,E27,F14,O27,G16,E11,P29,E22,L14,L19,F10,E13,F17,D11,G15,F2,C2,M15,M19,G8,J20,G17,H18,I17,H8,E25,H15,D24,H7,M15,N20,K19,K17,O29,C25,H17,L15,G15,O12,H8,I14,H14,K25,C15,G12,J16,O17,J14,E13,L20,O18,O25,C26,C5,P23,C10,F15,I12,P11,L18,M14,G17,F13,A6,C11,J12,M21,G12,H15,O28,J16,K13,C3,H10,A20,O27,K10,N13,G6
EGG,O12,C14,M14,G10,H15,O7,H15,A1,F9,H18,L18,E17,A2,O15,K15,G13,A30,P16,G15,G17,G15,H15,G1,G15,G25,C14,J17,L22,M12,K23,M18,M10,M10,E5,K23,N21,L20,P1,H17,H14,O19,D19,O29,O29,O19,G12,P1,M19,M11,D5,C19,A1,O29,M14,F13,B10,G15,J12,M12,M12,L16,C15,D15,C7,E20,C6,O18,M11,I15,N20,G18,H27,F18,P1,M15,O29,O2,K20,E18,M16,L17,P1,M18,F5,G15,N12,L15,O29,F15,H15,K18,O27,M6,O11,E12,O20,E3,O11,E12,P28
BANANA,E12,I29,L18,C12,P2,L18,N19,N15,H24,G10,L16,N24,J17,C24,F25,H11,D27,F12,M10,H10,J14,E30,J3,O2,P20,N12,L6,M24,K19,G24,E11,E4,E26,L25,L21,K15,M2,K20,H10,K14,G20,G18,N14,H9,I14,K15,O15,O23,N24,G6,N27,J18,B10,L14,F1,L15,F17,G17,K22,B19,C10,D15,K20,K12,G20,M16,G13,I15,K19,G15,H15,O16,M19,H21,H18,J14,F17,O25,G14,G21,O19,O13,K20,K24,G15,O15,O27,F7,H15,K17,J4,O13,C16,J12,H20,H17,M6,J15,I3,E5
TOMATO,M7,I15,K15,D1,K16,M13,C4,O29,H23,G15,F21,P29,F2,O24,I14,C5,I16,E1,I12,J15,M12,D2,D10,K17,F15,D20,F8,D19,M19,J19,J18,A1,C6,E11,N3,J19,K10,O26,B1,O18,A1,F21,K16,J10,D10,F10,E12,M3,N2,G16,C10,P29,O17,I20,E10,G2,A1,I23,O28,O10,N11,G16,M9,I14,O20,L13,F18,G16,O13,K15,H14,N9,C19,O2,K10,A1,A1,H20,G17,P2,G13,C28,D17,I10,K21,E13,C4,N18,P29,G19,K15,L20,D3,E3,I15,G18,P2,D2,M14,L18
BEET,P30,M11,I20,G1,O21,G14,P1,H17,L23,C10,C6,H7,O20,E13,G15,K17,G19,N11,K19,E17,E1,P1,K17,K13,O26,B16,E12,M15,A1,M12,B3,F2,P20,K8,L14,C26,K9,O21,M15,L25,G17,G15,M15,O19,M15,O19,G11,H5,N20,O28,O24,L15,H7,F12,C7,P29,E17,G28,C11,E3,F8,N14,L15,J16,C1,C2,C14,F15,L20,M14,O30,H14,K12,M15,O28,B9,E17,F10,K14,M17,B1,K16,N11,M28,N16,N30,P29,J18,C4,M14,P29,D17,A19,K23,K15,D9,O16,N23,G15,D22
PEARL,D5,P1,C10,J15,E19,D17,E15,C15,P3,L3,C21,K14,F5,M9,M13,M21,P10,H15,H7,J19,P1,C19,H14,P29,O21,H18,F18,B24,O26,H15,G15,L19,G15,G6,P29,D22,B14,G18,N17,J15,C5,H14,K16,P1,M17,C16,G14,O22,N11,E18,P30,L5,M11,N15,C25,F2,C4,B1,H18,K16,O26,N10,O10,H19,E21,O16,O16,O18,J10,G16,O10,K20,H15,K15,L14,G16,C9,O3,N30,A1,K21,H17,F15,I1,J13,G3,C6,E13,N10,E25,E12,L16,N12,N18,M16,O4,K4,J15,N5,H8
AMETHYST,H4,E12,P1,C2,E8,C20,J19,N16,C8,K21,L23,H14,A1,J18,M14,L16,D18,B16,M15,H15,M17,H15,O20,H17,F15,O28,N20,D7,N16,M15,E16,P30,G20,M14,K16,E12,C11,G15,P17,K16,H4,A9,P25,I14,C5,B8,O29,J18,J14,J10,M11,L7,G16,H10,K3,A9,P27,M16,N15,E18,O25,L19,G2,A1,K15,G15,O28,G9,K20,O24,C17,G19,C5,K22,L15,O26,H23,C1,K12,K14,G14,M10,G12,K10,J6,A1,L16,G16,C2,G13,G14,C18,F26,K16,B4,C18,M20,G20,C5,N16
SAPPHIRE,P30,K9,H15,O2,C5,N14,K19,L19,H11,M17,J16,G15,A27,F5,E11,N4,O10,B16,F17,M13,O19,I17,O19,L17,J12,M21,M16,G12,M13,H15,J15,E19,P12,J24,N24,G13,A1,E19,K17,F4,O26,N11,M19,N13,P1,P8,O10,C11,O22,F25,J12,O25,N14,G3,C2,A10,G20,M13,K19,M19,O25,N24,O23,A30,O19,J20,F15,O19,G16,C12,K17,A1,P29,P5,H7,G15,G18,J11,H14,E10,F16,N15,A30,J10,H19,D9,K16,P29,I17,J22,N11,D3,G20,E6,N14,L2,K6,C19,E12,B25
GOLD,C2,F5,K17,G19,J13,K20,E2,E16,I11,C14,P29,J4,A2,O16,P5,G16,O11,G4,G10,P28,K15,P30,D16,K10,O23,G11,K13,G17,H19,P15,K18,N18,G22,E28,N27,K20,L14,E12,G20,B24,O2,F12,L19,P1,A30,C5,J16,O13,G3,L9,J18,H17,G15,O29,G16,P29,L5,G10,G1,E27,K17,O12,H13,N18,O30,C24,O13,M10,B3,N19,J13,O14,B10,I4,H13,L14,C24,F15,F19,N13,O29,O20,O23,G18,O20,E12,P2,K9,O7,J14,G13,L14,E12,M9,C3,O16,G17,P28,E13,O25
RUBY,B8,H18,B2,P29,J15,H12,E26,G21,M15,P29,F4,A2,F13,P30,F25,O24,M21,M18,K14,O22,K20,J14,K5,N10,J18,L19,C15,A1,H19,P1,E4,J15,L15,N11,N19,M17,K8,B30,A1,E12,O24,K9,K15,O6,D17,I18,J15,E24,G3,N13,E4,M7,G12,J10,C3,N25,P29,C14,M12,F18,D9,G15,P30,F5,J17,F15,C1,K12,C4,P22,L16,C4,G18,C7,C18,J20,E12,N7,L12,K25,J10,D30,N17,D25,M11,D25,E20,O27,A1,E14,H17,F19,C9,G17,N18,H15,C26,D5,K16,E12
JADE,L2,O30,I17,M15,M24,F26,J18,J17,H20,B5,F14,J19,P1,M27,H16,J28,L12,O21,G17,G3,P23,M14,I19,G14,P30,C23,G16,L16,F27,N12,C24,F19,L16,E10,C24,K25,G15,N9,F10,O22,O18,L14,C25,E7,F10,I16,O24,E16,K16,G4,C7,E21,E19,H14,H22,M17,G7,K15,G16,L12,C5,A1,A1,M17,M21,N3,M25,D15,J18,C6,O13,O16,N29,J8,F14,K9,F8,A1,H15,B5,P23,G19,C14,G13,J9,A23,G25,M17,C14,N14,B3,M10,C13,M19,K22,D15,D14,I6,M23,B5
TILE,P1,O9,J20,A23,D15,K11,F13,H20,H15,M16,D15,F9,H17,C28,C8,J20,O25,N16,K4,C6,K7,G21,P22,K18,K5,C6,H12,O12,K6,N24,E20,L17,G15,H1,F10,P1,M13,G5,D8,C26,A1,H17,N21,O22,E10,C5,O29,G19,E18,O28,A1,K12,N20,C1,N17,A21,O29,M25,O28,M15,E12,N16,M16,O15,H15,O30,E12,J13,N4,N15,O15,P29,J8,M16,H17,L18,K8,P1,O29,L17,N19,H15,O17,O28,H17,E28,H17,G7,J19,N19,L19,C10,G16,H17,C6,K8,G18,H15,O26,N21
LAPIS LAZULI,K7,N14,O25,D17,O26,G15,J15,G28,C6,J15,O15,I25,M15,G20,N17,M13,E10,G16,H17,F5,M10,M15,G15,F26,L13,D13,N15,L26,P14,K16,G26,L17,N15,K10,A1,M24,G19,C14,P30,O10,H18,N30,K19,L11,H16,C19,K18,F3,N23,D15,J17,N28,P1,E12,O21,E19,J14,H17,J20,J9,G4,N2,J18,F15,A3,H12,F10,K23,H15,E11,F10,C5,C5,C29,O20,E7,M8,K15,C18,B20,O14,A1,K15,F9,O28,K16,N18,B19,M13,L18,P29,J16,G15,D17,J14,O27,K15,P12,G13,F4
AMBER,E12,G21,M12,J17,B3,N25,H14,P12,K17,H20,N13,M15,E17,N9,K17,H15,P20,E21,G10,H19,D18,H20,N14,O17,D26,M16,P30,G4,E20,N19,L11,M21,M15,K9,C19,H18,N12,E12,K12,K18,G8,N19,G16,G2,M10,C14,C21,A11,N19,H8,E15,E17,E12,G4,K10,D11,M15,H19,G14,O17,H15,J11,H16,D4,O19,K7,P1,I13,G13,C13,L12,L21,F3,G11,P28,K10,G16,B1,K2,L19,B13,G12,H14,D4,C2,N20,O21,O21,O17,M4,O17,M21,M15,O15,M21,E12,J18,G11,J16,K25
BRICK,L13,E23,F18,C4,M15,E20,H13,N30,K18,O24,E14,G17,N24,K17,D17,D3,K15,P1,F20,L19,O10,D14,K6,E12,J15,L15,H18,K22,P16,O28,M13,I29,G30,K6,G7,P23,E17,H16,A1,D15,L17,N18,B1,A1,D29,J15,D21,N10,K14,E16,E6,D2,O24,G15,H15,K17,G16,K26,M10,O25,N13,M17,G10,P29,P1,K20,I16,E30,F21,I15,P29,H17,L7,F14,K17,M7,K15,O9,N11,N15,B25,M6,K20,O28,B3,N15,H5,J19,E22,C17,O26,O14,M13,F1,C1,I13,O27,I15,B1,H13
EMERALD,C17,O27,K16,A13,O25,A29,J10,F16,K28,K15,O15,K16,M13,O18,F12,N14,J16,M9,E7,K14,K16,D4,G13,E12,L3,P30,J14,D3,K6,K5,C2,G12,L15,I18,F5,O27,I14,G5,C6,D5,I21,N18,K21,A1,M15,N14,J13,K16,L14,P1,M16,P23,K7,F24,K16,E11,N20,C3,O29,N22,K15,E20,O10,H19,M13,O20,P20,F18,K16,G12,C18,O11,H14,H12,P23,C15,H5,K18,K8,H17,G15,H9,C8,N29,K15,N7,I10,H15,L30,J15,K9,J15,M18,P27,F7,O12,P28,G15,C15,P15
SUNFLOWER,L13,E18,J1,O15,O14,K10,G17,N13,E7,F18,H18,H6,C7,G15,G11,K22,N30,O14,G16,A1,A2,C2,C7,K13,P29,G4,M15,H15,O18,L12,L16,E29,E23,G11,M14,O17,B1,G14,M11,O19,H18,O23,H9,O12,I15,H17,J14,N7,C19,H10,K13,K15,M19,G15,F14,H18,D27,C1,E15,G19,G26,K22,F17,G10,A1,N13,P1,O2,E18,H16,O3,K15,M12,N22,A18,O20,H3,P2,B15,H16,E12,D2,I15,L18,G12,C8,E29,O5,O15,G16,O30,K17,L14,J16,O12,B15,G23,K19,O3,E8
BASIL,C3,C20,G16,M17,B29,F3,M16,M27,F20,E9,C17,A2,O18,N19,E12,M14,D9,F13,F3,N12,N19,M10,E17,H4,G18,O24,A28,N16,N17,K19,N11,O19,C16,N14,B5,M15,N15,K16,K17,K11,O30,D28,O15,J19,E9,O12,N15,J14,N8,O28,H17,O29,O18,G4,F28,D8,M17,C29,K15,F11,A7,H7,I22,D4,C15,J17,G15,N14,N21,C14,G3,K2,K14,E12,O11,H18,H14,K13,K15,K15,H12,K17,A1,E2,G4,J17,H17,M30,I12,L8,O19,H8,I20,G15,A15,N2,P1,A1,J7,P1
