Palabra,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,Answer9,Answer10,Answer11,Answer12,Answer13,Answer14,Answer15,Answer16,Answer17,Answer18,Answer19,Answer20,Answer21,Answer22,Answer23,Answer24,Answer25,Answer26,Answer27,Answer28,Answer29,Answer30,Answer31,Answer32,Answer33,Answer34,Answer35,Answer36,Answer37,Answer38,Answer39,Answer40,Answer41,Answer42,Answer43,Answer44,Answer45,Answer46,Answer47,Answer48,Answer49,Answer50,Answer51,Answer52,Answer53,Answer54,Answer55,Answer56,Answer57,Answer58,Answer59,Answer60,Answer61,Answer62,Answer63,Answer64,Answer65,Answer66,Answer67,Answer68,Answer69,Answer70,Answer71,Answer72,Answer73,Answer74,Answer75,Answer76,Answer77,Answer78,Answer79,Answer80,Answer81,Answer82,Answer83,Answer84,Answer85,Answer86,Answer87,Answer88,Answer89,Answer90,Answer91,Answer92,Answer93,Answer94,Answer95,Answer96,Answer97,Answer98,Answer99,Answer100
TOAD,M24,I7,C22,O7,M21,G7,M8,O25,P2,M16,B21,I10,E8,H5,F8,O5,F5,L5,L6,F6,L10,D7,D8,C5,A8,C20,E7,D3,G5,C17,C5,C13,K11,M2,C20,G8,M5,A7,P30,D3,N13,C9,A3,P5,I7,D10,P4,M6,O15,D12,B30,M24,N17,B6,M4,N7,E9,E7,G7,C16,G5,B6,C22,I19,H3,K13,J6,P3,B2,M4,D7,E13,B13,G13,L6,M3,P30,J10,I11,M4,D9,C15,M3,B7,M4,P3,M19,E9,K15,D23,G5,E15,G5,M7,P1,C9,H3,O9,P30,D7
LEMON,L8,K6,K11,K5,K7,K6,L7,H9,L9,K10,L8,L6,K5,K7,C17,L7,G10,L10,L5,K17,J9,N6,M5,K9,M6,L10,M17,L9,M10,K7,K5,K7,G5,K9,K9,M5,K5,G5,K7,L6,M10,K9,K12,K4,K10,K9,L7,K5,L8,K9,L6,L15,L5,J12,L5,K5,L5,L6,K5,K5,K13,K8,K9,K7,K8,L7,L11,L3,L9,L5,N18,H8,G5,K7,L8,K10,K7,L6,K5,K9,K6,K7,H5,H4,L9,K5,K6,K5,L6,K10,K8,K11,K5,K8,K9,K5,M7,K11,K5,L9
LIME,K13,L6,K11,L6,L9,L7,L13,L9,L9,L13,L7,L12,L9,L6,L10,L9,K12,L8,L11,L5,L8,L8,L9,L9,M8,L9,L14,K14,L9,M8,L9,K10,K8,L8,L13,K10,L9,L9,K10,K11,L11,L9,L15,L9,L9,L14,K12,K13,L7,K13,M8,L12,K12,L7,L9,L5,L9,K13,K14,K17,K13,L5,L9,K11,K12,M13,L13,L7,K17,L9,L9,K16,L9,L13,K14,K11,L5,L7,L5,L10,K13,L7,L8,L9,L13,K14,L9,K15,N9,L6,K14,L13,K11,K17,L9,K10,L8,L8,M15,L9
KIWI,K8,J9,K7,K9,K5,K7,K8,K7,K5,K5,K5,K8,K9,K7,K5,K5,K9,K9,K7,K3,K9,K5,K8,K5,K7,K7,K7,K5,K7,K7,K8,K8,K5,K7,K6,K7,K5,K13,K7,K9,K7,K7,K5,K7,K7,K6,K3,K5,K7,K7,K6,K6,K9,K5,K5,K7,K9,K6,K7,K7,J11,K30,K9,K7,K8,K7,K9,K6,K6,K5,K5,K7,K3,K5,K7,K9,K6,K8,K5,K7,K7,K6,K6,K8,K7,K5,K9,J9,K7,K5,K8,K6,K9,K9,K3,K7,K30,K30,K8,K8
PUMPKIN,P30,P10,P9,P16,P9,P30,P9,P9,N30,P30,P9,P30,P5,P9,P9,P30,P30,P9,P30,P9,P30,P10,P9,P30,P9,P11,P9,P30,P30,P30,P9,P30,P6,P3,P3,P30,P15,P3,P30,P9,P30,P30,P30,P9,P30,P9,P30,P15,P9,P3,P3,P9,P16,P8,P20,P20,P9,P9,P9,P9,P14,P9,P9,P9,P9,P9,P30,P30,P30,P9,P30,P9,P30,P10,P30,P9,P30,P30,P9,P9,P9,P9,P9,P30,P13,P9,P9,P20,P30,P30,P20,P30,P9,P9,P9,P9,P10,P10,P20,P9
ZUCCHINI,P3,P10,P30,L13,P30,O5,P3,M18,C25,P30,P30,O6,P3,P30,L9,I13,P3,P30,M25,P3,P30,J14,P3,P3,P4,N9,L6,P30,P2,P3,I10,P3,K19,P3,L16,P3,N17,P3,P1,P30,P6,M3,P4,N22,L5,P2,M2,P3,P4,P30,P15,P30,P8,P30,P30,N27,C22,P2,L8,P9,P6,M17,P30,P8,P2,L5,N24,P30,P4,P2,H24,G14,N9,P25,P5,P30,M2,P30,P4,M25,L7,P3,P9,H24,P3,P3,L7,N5,P30,M11,M8,P2,N19,L9,N2,O30,M25,M8,P30,P3
GRAPE,M9,D5,G12,D19,D13,D15,C18,D5,G8,B7,E17,B21,D5,B7,D20,D9,D9,E12,K17,F8,B13,E9,E21,D12,C18,I19,D10,C14,A7,B20,D12,D10,F20,D12,G7,G7,B9,B20,A1,D20,G9,D18,P1,G12,J20,H6,A7,D18,D17,G8,C14,H10,G8,P3,D7,O15,G9,G9,F13,C21,B6,E14,C2,C15,F14,A9,F7,C18,D9,F7,C8,D13,G9,H14,A7,C20,G8,K18,C20,D8,D8,C21,L6,G7,G8,E15,D5,D7,A3,G11,F10,D10,C22,F9,D5,B14,C6,G9,C16,C14
CUCUMBER,C9,C5,C5,C7,C7,C9,C7,C5,C5,C5,C7,C6,C8,C6,C6,E9,C5,C9,C5,C9,C6,C4,C6,C7,C19,C8,C6,C8,C6,C8,C5,C9,C6,C6,C5,C6,C9,C6,C9,C5,C7,C7,C6,C8,C9,C5,C6,B5,C6,C9,C6,C5,C9,C7,C6,C6,C5,C15,D6,C7,C7,C6,C7,C6,C17,C5,C6,C6,C8,D7,C6,C6,C7,C8,C7,C4,C7,C6,C7,C6,C6,C5,C6,C7,C7,C6,C6,C6,C6,C5,C8,C6,C4,E10,C8,C7,C6,C5,C6,C6
COCONUT,P5,M8,L8,N7,G6,J19,K1,O9,A10,P2,J15,P3,P12,P3,D15,P1,D20,E9,M8,P30,M16,P3,B9,O11,O26,O19,E19,C26,J17,C18,O8,P3,P9,P22,G8,P3,A1,P3,B9,P9,O8,G14,P3,P30,M2,P3,O15,I15,I21,N10,P3,M9,P1,P4,P3,D6,P30,P3,C18,N22,M13,P3,P11,D22,F8,P30,K24,P25,O16,P30,L9,P2,A7,C25,P1,L9,G5,B8,P7,N30,P3,N6,P30,P1,F23,G7,C10,P3,M13,O7,A30,N15,C23,O7,G7,P3,J10,G9,B20,I8
EGGPLANT,F7,A4,G7,A7,A7,E9,G9,G6,A12,B7,K11,E8,B6,A7,H5,G6,D6,G5,E7,B8,P24,G9,H7,G7,G9,G7,D6,F5,B5,A8,D15,G5,G7,M9,A7,M7,D5,G5,A9,A5,E8,E9,J2,G6,J10,D6,H8,G7,P3,H7,H5,A9,A7,G7,G7,H7,C8,F9,M15,D9,C4,D8,F7,A7,L9,D4,A7,H9,A7,G9,G9,G6,G9,G9,A30,G9,A3,G8,G8,H6,F9,G9,B7,A3,B8,E9,A8,D7,H7,C5,G9,D14,A7,B25,D6,G7,P8,A3,C9,A6
ASPARAGUS,A7,A7,A7,A6,A7,A7,A7,A7,G7,C7,A3,D5,A5,A6,G14,C16,A7,A8,A9,H5,A7,C3,A5,A7,A7,C7,A7,A7,A7,A1,A7,A2,A15,A6,A6,H8,C7,A7,A9,A7,A7,A7,A9,B5,A7,A7,A7,A5,C6,E8,E8,B7,A3,B7,B3,A7,K5,A8,A7,E5,A3,A7,P30,A7,C17,A6,A3,A7,B6,C4,D7,D7,A9,A7,B7,H24,C1,D5,E9,A7,A7,B11,A7,A4,A6,A6,A8,A7,A7,A7,A3,H7,A7,A3,E5,G6,A7,A6,A7,H7
PEACH,O3,O8,O8,N24,N8,O9,N5,A3,M13,M12,F16,M7,O9,H5,N9,O9,O22,P5,O6,M10,I17,O10,O8,M8,H9,N6,O8,I7,N7,M15,N7,O6,O6,P3,M5,N9,L7,M15,M10,P3,M9,O5,N4,N9,L12,M17,M7,P3,M19,B9,N21,M13,N6,N10,P3,M18,P30,N5,M10,M4,M3,N20,M8,M9,N19,M16,N8,N27,N16,O6,N6,N16,L9,N7,M11,N7,B7,M15,N6,N15,M9,M13,P9,P30,M9,O16,O7,N5,N11,P3,O4,O6,N6,A15,N6,G15,N9,J17,M12,O3
APPLE,O5,A6,A10,A2,A7,E13,A7,A5,C10,B14,P30,P9,L5,A3,A3,H6,A11,A5,J23,D14,A1,G6,A2,A9,G10,G8,G8,A3,O8,A3,A5,D9,G10,C20,A10,J3,B13,D6,A30,A8,P3,A9,A10,N3,A6,F8,A5,P3,A1,O14,A6,A3,B12,A3,C17,G17,A1,B13,K11,B20,L1,A7,P3,A3,D9,A3,A8,P3,O3,D3,L4,A3,G5,B20,A1,C20,A8,H10,A3,G13,P3,F10,B16,E14,A10,E6,C20,E1,A3,A8,A10,A1,G5,P9,P12,A3,A5,A3,P3,B10
EGG,G5,C6,B8,C6,M14,G5,B7,A14,G5,C3,D5,D8,D5,H7,A5,E8,C6,A5,C6,L10,F5,C6,M8,D6,A7,G6,G6,C3,G5,C5,D7,H12,E9,E7,H7,J9,C7,D3,E6,E5,A6,C5,D5,A5,B5,D5,H7,G5,A6,D4,G5,H6,D6,D7,J5,B6,C7,B5,G3,F5,G5,G5,E7,G5,B4,D3,D5,C6,G5,G5,E7,B5,G5,H5,C5,G5,J5,G5,C6,G5,H5,G5,J8,E7,D6,B2,G5,D5,H2,D5,C6,E8,M5,A5,D6,G5,A7,H7,M30,G5
BANANA,B9,B7,B6,A9,A7,B6,B5,B6,B5,B5,B6,B5,B7,B7,B5,A7,A5,B5,A7,A7,B9,A5,A7,B5,B9,B6,B5,B5,C3,B6,B5,B6,A3,B5,B8,B6,A4,B6,A7,C12,B6,B6,B6,B7,A6,B5,B6,B7,B5,B8,B8,B9,A6,B8,B9,B9,B8,B5,B5,B7,B9,B8,A7,B6,B6,B7,B5,B6,B8,B7,A6,B5,B5,A6,B5,A5,B7,B7,B9,A7,A7,B7,B5,B6,A5,B9,B9,B5,B7,B6,B5,A7,B7,A5,B5,A6,C5,B6,A7,B5
TOMATO,H5,F6,F7,L5,G6,D8,G3,H5,F5,G7,G6,J7,I5,H5,G5,H6,G5,M5,G5,J13,C5,G4,G6,G5,J8,H6,H6,G7,H10,G8,H5,G7,G6,H6,J5,G6,I9,H9,A13,G11,F4,F5,J9,G6,G5,D25,F5,G5,H11,L5,F6,G5,F4,G7,G7,G5,F9,G4,G5,G5,J9,F5,G5,G6,G8,H7,A8,G5,G7,F5,J13,H6,G4,J6,G7,F5,G7,I7,J5,H7,I7,G5,G8,H6,G7,G5,G7,J5,G5,G6,G5,G7,G7,G6,G6,G6,G5,G5,G7,G7
BEET,A10,A6,D7,G8,D7,G9,G5,C9,L5,B6,A8,G7,D4,G5,D6,B6,G7,A3,J10,A1,D7,C5,C7,B6,D5,D7,G5,K6,E7,J9,G6,J11,C6,F7,J7,D6,D9,C5,B6,B3,B5,G5,D6,B7,C7,D9,F7,G9,D7,B6,A6,D5,B7,G5,G5,A3,G8,G10,G5,A5,F5,H9,D7,D7,A7,C9,C5,B6,G6,A5,D7,D5,D6,A6,G9,B6,B6,D7,D6,C7,G7,D9,A6,A9,B6,H9,E6,C15,D6,D6,E6,A7,D9,A5,C8,D3,D8,G7,F4,B5
PEARL,G7,D13,C13,H19,D20,M14,H23,J23,B22,J23,P21,C20,H22,O6,K7,H14,A7,M10,H11,H7,C22,G10,I13,G6,G8,G11,P5,H24,A7,D22,G7,J21,A2,E7,N22,L24,N19,G13,A7,P13,P20,A10,G4,E5,K18,G21,J27,C24,A5,H23,L11,D14,M24,C22,M8,P3,H7,N9,J25,L23,M19,O8,G15,E27,P6,I24,N23,D12,A3,D15,E11,P3,M11,G15,H6,D20,I1,A3,D20,M6,P3,M20,J22,F8,D4,H20,L9,D14,D15,I11,L12,F15,G21,P3,O13,G14,K9,H7,A3,E22
AMETHYST,C30,L9,A7,B7,A3,H9,A1,B30,D8,O24,A1,G2,M7,L7,A7,C6,C2,C2,C8,A2,A1,D3,A7,A1,G1,A1,A7,A30,D20,M8,A1,A1,A7,B1,A5,A3,G8,E9,L1,E7,A6,A9,C22,A7,D3,H24,M24,A1,A30,A3,A3,J20,F7,H8,A6,G6,F23,A6,A7,B9,A7,A30,D5,G20,C30,K15,A3,A9,A1,A1,K14,C20,G11,F7,A3,G22,K13,G3,G8,B3,A1,G6,H2,A7,A7,A7,E7,A1,A6,H30,C1,A7,B30,A13,A30,A7,A1,E11,G9,B2
SAPPHIRE,L14,P30,L28,L28,P30,B26,L29,J27,L16,G22,M24,P30,L26,P22,G13,M15,N25,L30,L26,P30,N22,M27,A30,L15,G22,P25,B30,L28,M19,B28,M28,P30,P30,G13,P30,L25,G20,M27,M29,M26,M25,M26,J27,M29,K29,N28,M26,P30,B23,L28,L27,L25,M25,M25,G22,M27,P19,L26,G14,L27,P30,L27,L20,L12,P30,J27,N23,L21,K25,M29,P29,L9,P30,P30,O10,M25,C27,M22,M26,P9,M29,L7,O3,J29,M24,P30,L24,N23,P30,L28,M27,J20,N20,O23,P1,M23,M24,J16,M29,J26
GOLD,G7,G5,G7,G6,G7,G5,G8,H6,G9,G7,G5,G6,G7,G7,H5,G9,G7,G9,G7,H6,G5,G5,G6,G5,G5,G8,G30,G5,G6,G6,G7,G7,H6,G7,G8,G9,H6,G4,G7,G5,G9,G8,H6,G7,I6,H4,G7,G9,G7,G7,G5,G7,G7,G5,G8,G3,G6,G7,G8,G6,G10,G5,G7,G5,G7,G7,G4,G7,G5,G6,G5,G7,G7,G6,G7,G5,G5,G5,G6,H7,G7,G9,G5,G7,G6,G7,G5,G8,G7,K5,G7,G10,G7,H6,G7,G9,G7,G7,G5,G7
RUBY,D9,D7,D5,D6,C6,D7,D9,G7,E4,D5,B5,D3,D5,G4,E7,D6,D9,D7,D7,B5,A7,D5,C7,D7,D8,C7,D5,A7,A6,C6,D14,D7,E3,D6,F7,G8,D6,D5,D13,D5,P7,D5,D14,D14,D7,A7,D7,E13,D3,C6,D5,E6,F3,C6,D6,E8,D7,B4,D15,E4,D6,D6,D5,C4,F6,D6,E9,A6,D5,D8,D6,D5,A8,C5,D13,C6,D5,D6,D7,B6,E9,F5,C6,C6,D5,A7,G4,D6,E5,D6,A1,B5,D6,D7,A7,A7,D6,A6,C6,C6
JADE,J9,J9,J3,J5,J3,J7,J7,J6,J6,J7,J5,J3,J5,J10,J6,J15,J8,K7,J7,J7,J5,J5,J7,J5,J8,J7,J3,J13,J4,J3,J5,J9,J5,J5,J9,J3,K5,C20,J3,J5,J5,J7,J6,J6,J9,J5,J3,K4,J5,J3,C24,J5,J5,J5,J7,J5,J5,J5,J6,J5,J4,J5,G8,J9,J5,J5,L7,J4,J7,J3,J9,J7,J5,J9,J8,J9,J7,J5,J7,K1,J5,J3,J5,J8,J5,J9,J5,J5,J5,J5,J5,J8,J5,J8,J4,J7,J3,J4,J7,J7
TILE,J8,L3,K3,P3,C25,P3,J12,K3,J3,G8,B4,P8,L1,J3,K12,P3,P3,G2,J30,J3,J17,K9,L8,J10,L6,G5,G2,P3,P30,G7,G7,A5,O3,P9,H6,J12,H10,P3,P3,P3,G9,H7,K5,P1,P3,L3,L9,P9,C20,K2,K4,J7,I5,G10,P3,I9,P4,G7,I9,P3,P3,K17,K3,K3,P3,H8,G7,J15,H30,B7,L5,G5,H9,G5,G6,P3,J30,L7,C17,P6,J3,G9,P2,K18,D8,J11,L6,G11,P9,K20,G10,K9,L3,L6,H8,P9,L7,P2,K7,L13
LAPIS LAZULI,L6,K13,L11,L7,K17,K17,L9,K8,K9,K6,L8,K9,K13,L17,L9,K15,K7,K11,L5,K30,K30,K30,L19,K17,L4,K24,K9,K5,L7,K3,K24,K9,L7,K13,K15,L15,K9,K13,L8,K9,K30,L7,L8,K9,L9,K7,K2,L9,L4,K3,K8,K9,L13,K7,L7,L5,K11,K15,K8,K22,K9,L6,K8,L9,K4,L9,K14,L7,L17,K7,L11,K9,L11,L9,K30,L9,L7,L7,L13,L9,K3,K8,K15,L9,L8,K2,L9,L7,K9,L6,K30,K9,L6,K30,L13,K7,L8,L7,K9,L9
AMBER,C9,A6,C8,A6,D5,A7,A7,D9,A9,A7,A7,C7,D3,D9,E9,B5,E1,C6,A4,A4,A7,D5,C7,D4,B8,A7,C15,D5,C9,A7,A9,D5,A6,A1,A7,G6,A7,A6,C8,C16,A12,B3,B7,A7,D13,A7,A7,A9,B9,B6,G9,A7,A7,A7,C20,D9,C14,B3,G7,G8,B4,P3,C8,C7,C7,E6,A6,D9,A1,C8,B5,A7,B3,B3,A7,B9,H5,A7,A7,A6,A7,A5,A9,A4,A7,D5,A7,A6,A5,C5,D5,A7,A2,A7,C7,D7,A6,A5,A1,D7
BRICK,C8,B5,B13,D7,D5,A7,C9,C8,B6,C5,D5,B15,C8,A9,C5,A3,C5,C7,B5,A3,B3,B6,C3,C9,C9,A5,C7,C6,C8,C8,C5,A3,A7,D22,D6,B8,A5,A3,C7,D10,B6,B9,A7,D6,A7,D5,D6,D5,C6,A8,A7,B7,B5,C1,B6,A7,C5,D3,D5,A7,C6,L5,C5,C5,B7,B5,A8,B3,A6,C6,D5,G8,B8,B7,C8,A5,C6,C5,D5,A7,A6,A7,A7,B5,A6,B10,C5,A5,B6,D5,D5,B7,C4,C3,D8,A5,D5,A6,A5,D8
EMERALD,M17,M9,N15,N16,O3,M5,M9,N16,M15,M5,N16,L10,L9,N5,P9,M15,M15,C21,M18,M10,M19,M10,M13,M12,M8,P6,M25,N10,M8,P1,M7,M19,M8,K19,M11,M8,M4,L9,M18,O15,M6,M17,M10,N9,M16,M20,M10,M10,M9,N18,L14,N19,M15,M6,N16,M15,M10,N9,M17,M16,M5,M9,N20,M12,M16,N17,M19,M18,M13,M10,N16,N15,P8,M17,M10,M9,N24,N15,M13,M6,M17,N9,M5,P14,M1,N20,M9,M8,L12,O9,M16,M5,N10,N24,N8,M9,P3,M17,M14,N15
SUNFLOWER,L9,J21,N18,N25,M12,G14,G9,G12,J9,K7,I12,P9,I9,G9,P8,G13,N19,H16,K16,L8,I17,J16,N21,O14,H14,G12,L10,N25,M8,M3,K9,M28,H13,E14,M15,H7,M5,H22,D19,G16,I20,E19,A3,N9,I8,J12,L13,L5,M14,G15,I14,B12,K18,G7,I7,D26,G14,F5,J15,K8,L11,P8,I14,L15,N11,G9,F25,N18,M13,O10,L16,H16,L21,M23,L10,M24,G9,A9,J14,M9,K20,O7,K19,P9,I5,M8,G12,E13,L5,M11,M18,K19,K9,M17,K17,J22,A7,E13,F10,M15
BASIL,A3,B5,B8,B6,B9,B9,B7,A5,B9,B7,B6,B9,B9,B7,B10,B8,B10,B6,C5,B5,B7,B6,C1,B7,B5,C7,C4,B7,B7,B5,B5,B8,B9,B9,B9,B8,B5,C9,B7,B6,B5,D6,B9,H6,B8,B15,C9,B8,B12,H4,B5,B13,B3,B7,B5,B8,B6,B11,B7,B6,C8,B12,B5,B7,B5,C9,B5,B7,B9,B8,C8,B6,A5,B8,B9,B5,B7,B2,B6,B9,B9,B7,B8,B5,B7,B12,B8,B6,B7,B9,B11,B11,A8,B9,B7,B6,B18,B8,B7,A7
