Palabra,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,Answer9,Answer10,Answer11,Answer12,Answer13,Answer14,Answer15,Answer16,Answer17,Answer18,Answer19,Answer20,Answer21,Answer22,Answer23,Answer24,Answer25,Answer26,Answer27,Answer28,Answer29,Answer30,Answer31,Answer32,Answer33,Answer34,Answer35,Answer36,Answer37,Answer38,Answer39,Answer40,Answer41,Answer42,Answer43,Answer44,Answer45,Answer46,Answer47,Answer48,Answer49,Answer50,Answer51,Answer52,Answer53,Answer54,Answer55,Answer56,Answer57,Answer58,Answer59,Answer60,Answer61,Answer62,Answer63,Answer64,Answer65,Answer66,Answer67,Answer68,Answer69,Answer70,Answer71,Answer72,Answer73,Answer74,Answer75,Answer76,Answer77,Answer78,Answer79,Answer80,Answer81,Answer82,Answer83,Answer84,Answer85,Answer86,Answer87,Answer88,Answer89,Answer90,Answer91,Answer92,Answer93,Answer94,Answer95,Answer96,Answer97,Answer98,Answer99,Answer100
GRAPE,A1,A1,A30,A30,A30,A30,A1,A1,A30,A30,A30,A30,A30,A1,A30,A30,A1,A1,A1,A30,A30,A30,A30,A1,A30,A30,A30,A30,A30,A30,A30,A30,A30,A1,A30,A30,A30,A30,A30,A30,A30,A1,A30,A30,A30,A1,A30,A30,A30,A30,A30,A30,A30,A30,A30,A30,A1,A30,A30,A1,A1,A30,A30,A30,A30,A30,A1,A30,A30,A30,A30,A30,A1,A30,A1,A30,A30,A30,A30,A30,A30,A30,A30,A1,A30,A30,A30,A30,A30,A30,A30,A30,A30,A30,A30,A30,A30,A30,A30,A1
CUCUMBER,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,M25,P30,P30,M25,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,M20,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,M1,P30,P30,P30,P30,P30,P30,M25,P30,P30,P30,P30,P30,P30,P30,P30,M15
COCONUT,E1,L15,H14,E1,L20,G1,I1,H1,G15,G15,K15,H1,H15,M15,L15,F10,K1,P30,L15,H15,M15,P30,M1,H1,L15,K1,H1,H1,E5,H1,L15,M10,P30,G1,F1,I15,M15,P1,G15,P30,P30,H15,F1,I15,P30,G15,E5,M1,H14,P1,I15,H16,G10,P30,F1,E10,G1,E1,E10,I22,K15,G1,M15,L15,H15,G10,H10,M15,G10,H14,K15,H1,G15,M15,P30,H15,P1,L15,P1,H15,E1,I15,L15,G12,P30,M1,I15,P30,M15,G1,M15,P30,P30,G1,H15,P30,H16,E1,H14,L15
EGGPLANT,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30
ASPARAGUS,L15,K15,N15,M15,M15,K15,M15,M15,L15,M15,M15,P30,K15,M15,N20,M15,M15,M15,M15,K15,K15,M15,M15,K15,K15,M15,P30,P30,K15,M15,L15,M15,M15,M15,L15,K15,M15,P30,M15,M15,P30,P1,L15,M15,K15,M15,L15,P30,L15,P30,P30,L15,K15,M15,P30,P30,M15,P30,M15,M15,M15,L15,K15,M15,M15,M15,K15,M15,K15,P30,N20,K15,P30,K15,K15,P30,K15,L15,M15,L15,M15,M15,M15,M15,L15,M15,L15,L15,N1,M15,K15,L15,L15,P1,M15,M15,M15,K15,K15,P30
PEACH,D10,E10,G10,H14,H10,E8,E5,H10,H15,E10,G1,H15,E8,H10,D12,G10,G12,D10,E10,H10,G10,G10,G10,E10,G15,D15,G15,D10,E10,G10,E5,D10,H10,E8,E10,H10,G15,E5,H10,G10,G10,G10,H10,H10,D10,D10,D15,H14,D15,D15,E10,D10,H10,D1,G10,G10,H10,G10,D10,G12,E1,D10,G1,D1,D15,D10,H15,E1,D15,E10,E1,D15,G10,H8,G10,H15,D15,H14,E5,G12,D10,H10,G10,D10,E10,E5,D10,E5,H15,H10,G10,D10,E10,E5,E10,E10,H12,H14,E10,G10
APPLE,K15,P1,L15,E1,E1,A1,P30,O15,K1,K10,H1,P1,A1,G1,M15,P1,L15,P1,E1,G15,P1,L15,P1,E1,M15,K1,L15,P30,E1,P1,M1,P30,A1,E1,P1,O25,K1,H15,E1,P30,M1,A1,P30,K10,P30,P1,P1,H15,M15,E1,P1,H10,P30,A1,P1,K15,G14,P1,K15,G1,P30,K10,K1,P30,O1,H1,P1,P30,P30,L15,H1,K15,P30,A1,P30,P1,P1,M15,H1,P30,K15,K15,M1,H1,P1,L15,P30,P30,O1,E5,A1,A1,P1,O1,P1,P1,P30,P30,K15,K1
EGG,H1,H12,K1,J1,I15,I1,J15,I15,J10,J10,I15,H1,I1,I15,K10,I1,I1,I15,J1,K1,I14,K15,J1,I15,I1,I10,G1,I15,I15,G10,J15,J10,K1,H1,I15,I10,I15,I1,I15,I1,J1,I1,J15,I15,I15,J1,I1,G1,J1,I10,J1,I15,I15,J1,K1,I15,H15,J10,G1,I1,I15,K1,H1,G10,G1,K1,I1,K10,I1,J1,G1,I15,I10,I10,J10,K15,H1,I15,K1,I10,I1,I15,I1,I15,K1,J15,I15,J10,J10,K10,I1,I1,J15,I14,I15,I10,G1,J15,I1,I15
BANANA,J15,K10,I1,E1,G1,E5,E10,E10,J15,G1,I15,J1,I1,E1,G5,K1,K1,I15,E1,J5,I10,K15,J10,J1,K15,J10,G15,J15,J1,J1,G5,I1,J5,I1,G1,J1,E5,J1,J10,J15,G10,I15,J5,E5,K1,J15,K1,G1,E10,J15,E5,K1,J5,J5,K1,J15,E1,J1,E5,E5,J15,E5,E1,E10,I15,G15,G10,K10,K10,G1,K1,E10,E1,E1,J1,K15,E1,E1,J5,J10,I1,I1,J15,J1,G15,K15,G10,J15,K10,I15,J1,G10,G1,I1,E5,K1,G1,J1,E5,I1
TOMATO,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
BEET,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
PEARL,I15,I15,I15,I15,I16,I15,I15,J15,I15,I15,J15,I15,J18,I15,J16,I15,J15,I15,I15,I15,I15,I15,I15,I15,I15,I15,I15,I15,I15,I15,I15,I15,I15,I15,I15,I15,I16,I15,J15,I15,I15,I15,I15,I15,I15,I16,I15,J15,I15,I15,I15,I15,I15,I15,I15,I15,I15,I15,I15,I15,I15,I15,I15,I15,J15,I15,I16,I15,I16,I15,I15,I15,I15,I15,I15,J15,I15,I15,J16,I15,I15,I15,J15,I16,I15,I15,I15,I15,I15,I15,J15,I16,I15,I15,I15,J18,I15,I16,I15,I15
AMETHYST,A15,A15,A19,A18,A20,A20,A15,A15,A1,A1,A19,A25,A15,A15,A18,A1,A1,A15,A15,A15,A25,A15,A15,A1,A20,A19,A15,A25,A15,A18,A1,A15,A20,A18,A15,A18,A18,A19,A1,A15,A15,A15,A15,A15,A20,A15,A20,A1,A15,A1,A19,A19,A28,A15,A1,A18,A19,A19,A1,A1,A18,A15,A18,A19,A18,A20,A19,A19,A15,A1,A18,A15,A25,A19,A15,A1,A1,A15,A25,A19,A15,A20,A18,A18,A15,A15,A15,A1,A1,A15,A15,A15,A1,A18,A18,A15,A15,A1,A18,A25
SAPPHIRE,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30
GOLD,G1,G1,H1,H1,H1,H1,G1,H1,H1,G1,G1,E1,G1,G1,G1,E1,G1,H1,E1,E1,H1,G1,G1,E1,H1,E1,G1,G1,H1,E1,H1,H1,G1,G1,E1,H1,E1,G1,G1,E1,G1,G1,G1,H1,G1,G1,G1,G1,G1,E1,G1,G1,E1,H1,H1,G1,G1,G1,G1,G1,E1,H1,G1,H1,H1,G1,G1,E1,G1,G1,G1,E1,G1,G1,H1,H1,G1,G1,E1,H1,G1,H1,G1,E1,G1,H1,G1,G1,E1,G1,G1,G1,E1,E1,E1,G1,E1,G1,G1,E1
RUBY,A1,A10,A1,A1,A10,A1,A10,A15,A1,A15,A1,A10,A1,A10,A1,A1,A1,A1,A15,A10,A1,A10,A1,A1,A1,A1,A1,A1,A1,A1,A15,A1,A10,A1,A1,A15,A1,A1,A1,A1,A15,A1,A1,A1,A1,A1,A1,A1,A1,A10,A15,A1,A1,A1,A1,A1,A10,A10,A1,A15,A15,A1,A1,A1,A1,A1,A10,A1,A1,A1,A1,A1,A10,A1,A1,A1,A15,A1,A1,A1,A1,A1,A1,A1,A1,A10,A1,A1,A10,A1,A10,A15,A1,A15,A10,A1,A1,A1,A1,A1
JADE,L15,L25,L15,L15,M25,L15,K15,P30,K20,L15,M15,L15,P15,P30,M20,M15,L20,P1,P30,M20,L20,L20,M25,K15,M25,K15,L15,P1,M15,M25,M20,L20,M15,L15,L15,K25,L15,K25,K20,L20,L25,M15,L15,L15,K15,M25,L15,K15,M15,K15,L20,P30,P30,P15,M25,M25,M25,L25,L15,L15,K15,M15,L15,K15,L15,K15,L15,L15,M25,L25,L15,K20,P30,K15,M20,P15,L15,L15,M20,L15,P30,P1,L25,K20,L15,L15,P30,K25,P30,M15,K25,M15,L15,L15,L25,M25,M20,L20,L15,P30
TILE,H15,H15,D1,H15,F15,P30,G15,H15,F1,F1,G15,J15,P30,M15,G1,G1,F1,F1,M15,H15,M15,P30,G15,H15,G15,G15,G1,G15,H15,I15,G15,D1,J15,M15,I15,A1,D1,P30,P30,D1,P30,G15,J15,M15,H15,F10,I15,A1,H15,J15,M15,H15,I15,H15,D1,J15,D15,G1,H15,H15,I15,M15,H15,G15,J15,P30,J15,A1,H15,H15,I15,I15,D1,G15,D1,M15,H15,F15,H15,F1,G15,H15,H15,J15,I15,M15,M15,P30,D1,I15,P30,P30,I15,D1,G1,M15,D15,F1,G15,P30
LAPIS LAZULI,P30,A30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,A30,P30,P30,P30,P30,A30,P30,P30,P30,P30,P30,P30,P30,A30,P30,P30,P30,P30,P30,P30,P30,A30,P30,P30,P30,P30,A30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,A30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,P30,A30,P30
AMBER,D1,D5,D1,E1,D1,D1,D5,D1,E5,E1,E1,D1,E5,D1,E1,E5,D5,D1,E1,E5,E5,D1,D1,E1,D1,E1,D1,D5,D5,D1,D5,D1,D1,D5,D1,E5,D1,E1,E1,E1,E5,D5,D1,D1,D5,E1,E1,D5,D1,E5,E1,D1,D1,D1,E1,E5,E5,E1,E1,E5,E1,D1,E1,E1,D1,E5,D1,D1,E5,D1,D5,D5,D5,E5,E1,D1,E5,D1,D5,E1,D1,D1,D1,E1,D5,E1,D1,D1,E1,D5,D1,E5,D1,D5,D5,D1,D5,D1,E1,D5
BRICK,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
EMERALD,P30,P30,N25,P30,M15,M15,M20,P30,N15,P30,P30,N25,M15,M15,N20,M15,N15,P30,P30,M25,P30,M25,P30,M25,N15,N15,N25,P30,M15,P30,N25,P30,P30,P30,M15,N25,N15,P30,N20,N25,N15,P30,M15,P30,N20,P30,M15,M25,P30,P30,N15,N25,P30,M1,N25,N15,P30,M25,N15,N15,N15,M15,P30,N15,M15,P30,M25,N25,N15,P30,P30,N25,M20,P30,P30,N25,P30,P30,N25,M15,N15,N15,P30,N25,M25,M25,P30,P30,N15,P30,P30,N20,N15,P30,P30,P30,N15,M25,N15,M15
SUNFLOWER,E5,G5,H5,E5,E1,G1,E5,E1,E5,E5,G1,G5,E1,E1,E5,E5,E1,G1,G5,G1,H5,G1,E1,G5,G5,E5,G1,E5,E5,G1,G5,G1,G1,H1,G5,E5,E5,E1,G5,E5,G1,G1,G5,E5,G1,G1,E1,E1,G1,G5,G1,G1,G5,E1,G1,E5,G1,E1,G1,E1,E5,E1,G1,G1,G5,G1,G1,G1,E5,G1,E5,G5,G5,E1,G1,G5,E1,G5,G1,G5,E5,E1,G1,E1,G1,E1,E1,E1,G5,E1,E5,H5,E5,G1,E5,E5,E5,G5,G1,G1
BASIL,M20,M15,M15,P1,L15,M20,P15,P30,N20,L25,M15,P30,L20,P30,M15,M15,N15,L25,M18,M15,P30,M15,M1,P30,M2,P30,P1,L20,P30,M15,L25,L20,M1,L20,P1,M2,M15,M15,L15,N20,M15,N24,M15,M15,P30,P30,M15,M15,M20,M15,L20,M15,M25,M15,P1,P1,L15,L15,N20,P30,M15,M15,P1,M15,M15,M15,M15,L15,N15,P30,M15,M20,M15,M15,M15,L20,N15,N10,P30,M25,L15,P30,M20,N1,P30,M15,N20,M15,L15,L15,P1,P30,M15,P1,P30,P15,P15,P1,P30,M15
